date,description,category,amount,transaction_type,mode,balance
2026-04-01,SALARY CREDIT APR,Income,47000,credit,NetBanking,47000
2026-04-01,RENT,Rent,15000,debit,UPI,32000
2026-04-02,SWIGGY,Food,340,debit,UPI,31660
2026-04-02,GROCERY,Grocery,1900,debit,UPI,29760
2026-04-03,PETROL,Transport,1200,debit,Debit Card,28560
2026-04-03,UBER,Transport,220,debit,UPI,28340
2026-04-04,ZOMATO,Food,410,debit,UPI,27930
2026-04-04,STARBUCKS,Food,280,debit,Credit Card,27650
2026-04-05,AMAZON,Shopping,2300,debit,Credit Card,25350
2026-04-05,NETFLIX,Entertainment,649,debit,AutoPay,24701
2026-04-06,ELECTRICITY,Utilities,1700,debit,NetBanking,23001
2026-04-06,PHARMACY,Health,480,debit,UPI,22521
2026-04-07,BLINKIT,Grocery,750,debit,UPI,21771
2026-04-07,OLA,Transport,200,debit,UPI,21571
2026-04-08,DOMINOS,Food,600,debit,UPI,20971
2026-04-08,MYNTRA,Shopping,2600,debit,Credit Card,18371
2026-04-09,WATER BILL,Utilities,400,debit,NetBanking,17971
2026-04-09,PETROL,Transport,1100,debit,Debit Card,16871
2026-04-10,UPI/SWIGGY,Food,360,debit,UPI,16511
2026-04-10,MEDICAL STORE,Health,320,debit,UPI,16191
2026-04-11,AMZN PAY,Shopping,1700,debit,Credit Card,14491
2026-04-11,INTERNET,Utilities,999,debit,AutoPay,13492
2026-04-12,UNKNOWN REF X1,REVIEW_REQUIRED,800,debit,UPI,12692
2026-04-12,UBER,Transport,240,debit,UPI,12452
2026-04-13,SWIGGY,Food,400,debit,UPI,12052
2026-04-13,MOVIE,Entertainment,550,debit,Credit Card,11502
2026-04-14,GROCERY STORE,Grocery,2000,debit,Debit Card,9502
2026-04-14,STARBUCKS,Food,260,debit,Credit Card,9242
2026-04-15,AMAZON ELECTRONICS,Shopping,3000,debit,Credit Card,6242
2026-04-15,UPI FRIEND,P2P,600,debit,UPI,5642
2026-04-16,PETROL,Transport,1200,debit,Debit Card,4442
2026-04-16,ZOMATO,Food,390,debit,UPI,4052
2026-04-17,PHARMACY,Health,420,debit,UPI,3632
2026-04-17,SWIGGY,Food,340,debit,UPI,3292
2026-04-18,RECHARGE,Utilities,300,debit,UPI,2992
2026-04-18,BLINKIT,Grocery,700,debit,UPI,2292
2026-04-19,UPI CREDIT,P2P,2500,credit,UPI,4792
2026-04-19,DOMINOS,Food,580,debit,UPI,4212
2026-04-20,SHOPPING,Shopping,2000,debit,Credit Card,2212
2026-04-21,BONUS,Income,10000,credit,NetBanking,12212
2026-04-21,SWIGGY,Food,320,debit,UPI,11892
2026-04-22,PETROL,Transport,1000,debit,Debit Card,10892
2026-04-22,NETFLIX,Entertainment,649,debit,AutoPay,10243
2026-04-23,GROCERY,Grocery,1800,debit,Debit Card,8443
2026-04-23,OLA,Transport,220,debit,UPI,8223
2026-04-24,ZOMATO,Food,440,debit,UPI,7783
2026-04-24,MEDICAL,Health,350,debit,UPI,7433
2026-04-25,AMAZON,Shopping,1500,debit,Credit Card,5933
2026-04-25,ELECTRICITY,Utilities,1500,debit,NetBanking,4433
2026-04-26,UNKNOWN-UPI-777,REVIEW_REQUIRED,900,debit,UPI,3533
2026-04-26,BLINKIT,Grocery,720,debit,UPI,2813
2026-04-27,PETROL,Transport,1100,debit,Debit Card,1713
2026-04-27,UPI CREDIT,P2P,2000,credit,UPI,3713
2026-04-28,DOMINOS,Food,650,debit,UPI,3063
2026-04-29,SHOPPING,Shopping,2100,debit,Credit Card,963
2026-04-30,GROCERY,Groceries,900,debit,Debit Card,63

2026-05-01,SALARY CREDIT MAY,Income,47000,credit,NetBanking,47063
2026-05-01,RENT,Rent,15000,debit,UPI,32063
2026-05-02,SWIGGY,Food,350,debit,UPI,31713
2026-05-02,GROCERY,Grocery,2000,debit,UPI,29713
2026-05-03,PETROL,Transport,1200,debit,Debit Card,28513
2026-05-03,UNKNOWN MERCHANT ZX,REVIEW_REQUIRED,750,debit,UPI,27763
